	Method	Analyte	lprobe	lflourines	lhydrogen	hhydrogen	hcarbons	Probe	Avg	SD	smiles	formula	f_obj_selectivity	f_obj_error_selectivity	f_obj_sensitivity	f_obj_error_sensitivity	sds_sensitivity	sds_sensitivityError	smilesValid	pc0	pc1	pc2	pc3	pc4
246	PBMD-4CVS-GPU	PFOSD	11	23	5	0	2	C11F23/N(CH3)2	-6.069729485006117	0.819663093060639	CN(C)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	C13H6F23N	2.3827069324720584	1.0012387220508316	-6.069729485006117	0.819663093060639	-8.452436417478175	0.5750055585890006	True	63.37324142456055	8.689181327819824	8.588330268859863	-7.8332109451293945	-0.41746389865875244
249	PBMD-4CVS-GPU	PFOSD	11	23	3	1	1	C11F23/NH1(CH3)1	-7.291351230624909	0.5353929234643188	CNC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	C12H4F23N	-0.8421120382466771	0.647447169270086	-7.291351230624909	0.5353929234643188	-6.449239192378232	0.3640635308571535	True	63.918617248535156	11.918807029724121	1.5535134077072144	-11.372819900512695	0.4556184709072113
0	PBMD-4CVS-GPU	PFOSD	7	0	16	2	0	C7F0/PH2	-2.451291622777771	0.1068119446993338	CCCCCCCP	C7H17P	2.2529881386978694	0.1346675401394838	-2.451291622777771	0.1068119446993338	-4.70427976147564	0.0820155767934722	True	-51.12879943847656	7.879032135009766	0.12756966054439545	-3.401729106903076	13.512117385864258
9	PBMD-4CVS-GPU	PFOSD	9	0	20	-1	-1	C9F0	-3.0746227279751124	0.2851624321393499	CCCCCCCCC	C9H20	1.486097579216437	0.3009143376451452	-3.0746227279751124	0.2851624321393499	-4.560720307191549	0.0960823911899944	True	-48.664127349853516	7.955256462097168	1.5534554719924927	-3.878504753112793	10.861358642578125
20	PBMD-4CVS-GPU	PFOSD	12	0	28	1	1	C12F0/PH1(CH3)1	-6.344308969120728	0.4258615429861612	CCCCCCCCCCCCPC	C13H29P	1.0263157647803922	0.504698289539342	-6.344308969120728	0.4258615429861612	-7.370624733901121	0.270854775976691	True	-43.9342041015625	4.0039143562316895	4.449737548828125	1.3121076822280884	4.473935127258301
53	PBMD-4CVS-GPU	PFOSD	11	3	27	0	3	C11F3/N(CH3)3	-7.206112899882257	0.5204553917891171	C[N+](C)(C)CCCCCCCCCCC(F)(F)F	C14H29F3N	-0.9350250277771224	0.8180543690116819	-7.206112899882257	0.5204553917891171	-6.271087872105134	0.6311411377946597	True	-23.02620506286621	0.3155513405799866	0.694970965385437	2.0793323516845703	-8.392226219177246
113	PBMD-4CVS-GPU	PFOSD	12	0	26	2	0	C12Br0/PH2	-5.753911910154507	0.4864181783256021	PCCCCCC(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)Br	C12H12Br15P	1.9946434737768852	0.49814836923419675	-5.753911910154507	0.4864181783256021	-7.748555383931392	0.1074669882572894	True	21.109159469604492	1.4552708864212036	-1.3335459232330322	1.6353503465652466	6.55539083480835
117	PBMD-4CVS-GPU	PFOSD	12	0	28	1	1	C12Br0/PH1(CH3)1	-6.12653477490241	0.6302426894399968	CCCCCC(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)PC	C13H15Br14P	0.448554080160279	0.7945996921522762	-6.12653477490241	0.6302426894399968	-6.575088855062689	0.4839243982027894	True	22.251832962036133	-1.107909083366394	-5.511615753173828	6.372704982757568	2.6641881465911865
123	PBMD-4CVS-GPU	PFOSD	11	0	28	0	2	C11Br0/P(CH3)2	-6.170784178303552	0.4768786509283125	CP(C)CCCCC(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)Br	C13H14Br15P	1.4081525252240024	0.5187060440932189	-6.170784178303552	0.4768786509283125	-7.578936703527554	0.2040654612315102	True	25.084293365478516	-9.698846817016602	0.9674544334411621	5.8662519454956055	2.729745864868164
151	PBMD-4CVS-GPU	PFOSD	12	0	28	1	1	C12Br0/PH1(CH3)1	-7.167804157586734	0.7847708956647117	CPCCCCC(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)Br	C13H12Br17P	0.9189821282919839	0.8246924592792372	-7.167804157586734	0.7847708956647117	-8.086786285878718	0.2534803615857498	True	32.48159408569336	-2.7916836738586426	0.3191603720188141	6.4791388511657715	4.0327630043029785
153	PBMD-4CVS-GPU	PFOSD	14	0	30	-1	-1	C14Br0	-7.289753277155788	0.1151754302279648	CCCCCCC(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)Br	C14H13Br17	-1.1727985296435914	1.3703037279340242	-7.289753277155788	0.1151754302279648	-6.116954747512197	1.3654548425567532	True	32.94733428955078	-0.3334174156188965	-1.4106589555740356	4.463669300079346	3.298454761505127
221	PBMD-4CVS-GPU	PFOSD	13	21	11	0	2	C13Cl21/P(CH3)2	-7.715206462748036	0.8357680957316175	CP(C)CCCC(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl	C15H12Cl21P	4.753384693487368	0.8701932624579732	-7.715206462748036	0.8357680957316175	-12.468591156235403	0.2423386147199759	True	55.23869705200195	1.6651792526245117	1.4169025421142578	10.934420585632324	-3.46225643157959
225	PBMD-4CVS-GPU	PFOSD	11	23	1	2	0	C11Cl23/NH2	-5.779897662599526	0.558362279805639	NC(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl	C11H2Cl23N	3.777280950290341	1.1430504821333145	-5.779897662599526	0.558362279805639	-9.557178612889867	0.9973945905184428	True	56.017478942871094	3.980036735534668	-2.3101301193237305	8.869659423828125	-4.478634834289551
238	PBMD-4CVS-GPU	PFOSD	13	25	3	-1	-1	C13Cl25	-6.56791940610128	0.518757529508183	CC(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl	C13H3Cl25	3.9357897782825475	0.7170061291336015	-6.56791940610128	0.518757529508183	-10.503709184383828	0.494963043866628	True	62.25294876098633	7.772661209106445	-2.4121522903442383	8.467964172363281	-5.736711502075195
244	PBMD-4CVS-GPU	PFOSD	13	28	0	-1	-1	C13Cl28	-8.699492846519036	0.6080079117687817	ClC(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl	C13Cl28	0.7748070982850397	1.8533502840575375	-8.699492846519036	0.6080079117687817	-9.474299944804075	1.75078086996709	True	62.983646392822266	8.564656257629395	-1.0483202934265137	10.125057220458984	-6.977448463439941
