	Method	Analyte	lprobe	lflourines	lhydrogen	hhydrogen	hcarbons	Probe	Avg	SD	smiles	formula	f_obj_selectivity	f_obj_error_selectivity	f_obj_sensitivity	f_obj_error_sensitivity	sds_sensitivity	sds_sensitivityError	smilesValid	pc0	pc1	pc2	pc3	pc4
37	PBMD-4CVS-GPU	PFOSD	12	3	23	-1	-1	C12/F3	-5.778011160862825	0.3524279246712906	CCCCCCCCCCCC(F)(F)F	C12H23F3	2.2140303403593853	0.6489566290858576	-5.778011160862825	0.3524279246712906	-7.99204150122221	0.5449213377602005	True	-32.19244384765625	2.0346899032592773	4.24593448638916	1.792673945426941	-4.4311347007751465
44	PBMD-4CVS-GPU	PFOSD	4	7	3	-1	-1	C4/F7	-0.5720291816549973	0.3852233141887893	CC(F)(F)C(F)(F)C(F)(F)F	C4H3F7	0.6772749476237626	0.424859468130693	-0.5720291816549973	0.3852233141887893	-1.24930412927876	0.1791886320772069	True	-27.406200408935547	2.2173285484313965	1.506767988204956	-2.3215229511260986	-2.7962703704833984
61	PBMD-4CVS-GPU	PFOSD	4	10	0	-1	-1	C4/F10	-1.7543808885331131	0.0868800123823556	FC(F)(F)C(F)(F)C(F)(F)C(F)(F)F	C4F10	0.4787162369194564	0.246576909457786	-1.7543808885331131	0.0868800123823556	-2.2330971254525696	0.2307640260660117	True	-19.350439071655273	0.4720701575279236	1.63497793674469	-3.923595428466797	-2.467292070388794
64	PBMD-4CVS-GPU	PFOSD	6	9	5	-1	-1	C6/F9	-1.6313358312150388	0.1885704329471124	CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F	C6H5F9	-0.2396909347218057	0.39338406151786204	-1.6313358312150388	0.1885704329471124	-1.391644896493233	0.3452422507087272	True	-17.880599975585938	0.7062181234359741	1.107343316078186	-3.5350420475006104	-1.0740180015563965
75	PBMD-4CVS-GPU	PFOSD	6	11	3	-1	-1	C6/F11	-2.0583558935482347	0.2428487376499914	CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	C6H3F11	-0.1325341088469627	0.32361215699426754	-2.0583558935482347	0.2428487376499914	-1.925821784701272	0.2138909039119899	True	-10.325629234313965	-2.808040142059326	1.8348016738891602	-2.5674121379852295	-1.4802918434143066
78	PBMD-4CVS-GPU	PFOSD	10	9	17	0	2	C10Cl9/N(CH3)2	-6.075629457877546	0.130469745668338	CN(C)CCCCCCC(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl	C12H18Cl9N	1.4588922102009025	0.6590059793438622	-6.075629457877546	0.130469745668338	-7.534521668078448	0.6459617065091414	True	-4.421246528625488	-5.220768451690674	-2.491352081298828	-0.9557520151138306	-0.7951924204826355
82	PBMD-4CVS-GPU	PFOSD	6	14	0	-1	-1	C6/F14	-1.592870367980859	0.5212799229568411	FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	C6F14	-0.0840492106939954	0.539125808232534	-1.592870367980859	0.5212799229568411	-1.5088211572868635	0.1375640906068616	True	0.16571557521820068	-6.886581897735596	3.057232618331909	-4.51087760925293	-1.1138845682144165
87	PBMD-4CVS-GPU	PFOSD	8	13	5	-1	-1	C8/F13	-2.855902393941337	0.185486185798551	CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	C8H5F13	1.3032952971545413	0.20975287784521116	-2.855902393941337	0.185486185798551	-4.159197691095878	0.097934389477106	True	1.8942532539367676	-4.603079795837402	2.173898458480835	-5.249780654907227	0.12139531970024109
97	PBMD-4CVS-GPU	PFOSD	8	15	3	-1	-1	C8/F15	-2.418420680612684	0.3006581918934721	CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	C8H3F15	1.7652774489304521	0.46392464278827306	-2.418420680612684	0.3006581918934721	-4.183698129543136	0.353313919671409	True	11.447546005249023	-4.505815029144287	3.083458662033081	-3.238818883895874	-0.8606632351875305
114	PBMD-4CVS-GPU	PFOSD	11	0	24	2	0	C11Br0/PH2	-5.96045710547966	0.4810765037638099	PCCCCC(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)Br	C11H10Br15P	2.030069002207134	0.7750273034825996	-5.96045710547966	0.4810765037638099	-7.990526107686794	0.6076452243455045	True	21.14617919921875	0.17691491544246674	-2.3658089637756348	4.116157054901123	3.939073324203491
