	SMILES	Mol. weight [kg/kmol]	Sensitivity, $-\Delta G_{PFOS}$ [kJ/mol]	$\Delta G_{SDS}$ [kJ/mol]	Selectivity, $-\Delta\Delta G_{PFOS - SDS}$ [kJ/mol]	$K_b^\mathrm{PFOS}$	$K_b^\mathrm{SDS}$	$K_b^\mathrm{PFOS}/K_b^\mathrm{SDS}$
0	CCCCCCCN	115.14	2.1$\pm$0.1	3.4$\pm$0.2	-1.3$\pm$0.3	7.9$\pm$0.3	7.5$\pm$0.5	1.0$\pm$0.1
1	CCCCCCCNC	129.15	2.7$\pm$0.3	3.3$\pm$0.3	-0.6$\pm$0.4	8.5$\pm$0.5	8.0$\pm$0.8	1.1$\pm$0.1
2	CCCCCCCN(C)C	143.17	4.3$\pm$0.9	3.3$\pm$0.5	0.9$\pm$1.1	14.5$\pm$3.8	8.3$\pm$1.4	1.8$\pm$0.5
3	CCCCCCCCCCCN	171.2	1.8$\pm$0.3	4.5$\pm$0.4	-2.8$\pm$0.5	6.3$\pm$0.5	13.3$\pm$1.9	0.5$\pm$0.1
4	CCCCCCCCCCCNC	185.21	4.7$\pm$0.5	4.8$\pm$0.4	-0.1$\pm$0.7	18.9$\pm$2.3	12.9$\pm$1.0	1.5$\pm$0.2
5	CCCCCCC[N+](C)(C)C	158.19	3.0$\pm$0.3	4.2$\pm$0.2	-1.2$\pm$0.4	11.1$\pm$1.5	11.1$\pm$0.3	1.0$\pm$0.1
6	CCCCCCCCCCCN(C)C	199.23	5.4$\pm$0.3	6.3$\pm$0.3	-0.8$\pm$0.4	23.4$\pm$2.7	22.0$\pm$2.2	1.1$\pm$0.2
7	CCCCCCCCCCC[N+](C)(C)C	214.25	5.8$\pm$0.3	6.9$\pm$0.5	-1.1$\pm$0.6	26.9$\pm$1.3	23.3$\pm$2.4	1.2$\pm$0.1
8	NC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	384.99	2.0$\pm$0.4	3.3$\pm$0.4	-1.3$\pm$0.6	8.4$\pm$1.1	9.9$\pm$1.2	0.8$\pm$0.1
9	CNC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	399.01	3.2$\pm$0.2	2.4$\pm$0.4	0.7$\pm$0.5	13.1$\pm$0.9	8.0$\pm$1.2	1.6$\pm$0.3
10	CN(C)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	413.03	5.0$\pm$0.9	4.5$\pm$0.4	0.5$\pm$0.9	23.1$\pm$5.0	16.3$\pm$2.2	1.4$\pm$0.4
11	C[N+](C)(C)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	428.05	3.6$\pm$0.3	3.4$\pm$0.5	0.3$\pm$0.6	14.7$\pm$1.5	9.8$\pm$1.4	1.5$\pm$0.3
12	NC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	584.98	4.6$\pm$0.6	6.5$\pm$0.4	-1.8$\pm$0.7	19.9$\pm$3.9	27.2$\pm$2.8	0.7$\pm$0.2
13	C[N+](C)(C)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	628.04	5.4$\pm$0.7	7.4$\pm$0.3	-1.9$\pm$0.8	22.8$\pm$4.1	41.7$\pm$4.4	0.5$\pm$0.1
