Catalog,SMILES,SELFIES
S1018,CN1CCN(c2ccc3nc(-c4c(N)c5c(F)cccc5[nH]c4=O)[nH]c3c2)CC1,[C][N][C][C][N][Branch2_3][epsilon][S][c][c][c][c][n][c][Branch2_3][epsilon][Ring1][-c][c][Branch1_3][epsilon][N][c][c][Branch1_3][epsilon][F][c][c][c][c][Ring1][Branch1_2][nHexpl][c][Ring1][F][=O][nHexpl][c][Ring1][C][c][Ring2][epsilon][Ring1][C][C][Ring2][epsilon][Branch2_2]
S1020,O=C(NOCC1CC1)c1ccc(F)c(F)c1Nc1ccc(I)cc1Cl,[O][=C][Branch1_3][Branch2_2][N][O][C][C][C][C][Ring1][epsilon][c][c][c][c][Branch1_3][epsilon][F][c][Branch1_3][epsilon][F][c][Ring1][Branch1_3][N][c][c][c][c][Branch1_3][epsilon][I][c][c][Ring1][Branch1_2][Cl]
S1021,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,[C][c][n][c][Branch2_3][epsilon][Branch2_2][N][c][n][c][c][Branch1_3][=C][C][Branch1_3][epsilon][=O][N][c][c][Branch1_3][epsilon][C][c][c][c][c][Ring1][Branch1_2][Cl][s][Ring1][=N][c][c][Branch1_3][N][N][C][C][N][Branch1_3][Ring2][C][C][O][C][C][Ring1][Branch2_1][n][Ring2][epsilon][=O]
S1025,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,[C][O][c][c][c][n][c][n][c][Branch1_3][#N][N][c][c][c][c][Branch1_3][epsilon][F][c][Branch1_3][epsilon][Cl][c][Ring1][Branch1_3][c][Ring1][N][c][c][Ring1][=C][O][C][C][C][N][C][C][O][C][C][Ring1][Branch1_1]
S1026,CS(=O)(=O)O.Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,[C][S][Branch1_1][epsilon][=O][Branch1_3][epsilon][=O][O][.][C][c][c][c][c][Branch2_3][epsilon][Branch2_2][N][C][Branch1_3][epsilon][=O][c][c][c][c][Branch1_3][=O][C][N][C][C][N][Branch1_3][epsilon][C][C][C][Ring1][Branch1_2][c][c][Ring1][=O][c][c][Ring2][epsilon][Ring2][N][c][n][c][c][c][Branch1_3][Branch2_2][-c][c][c][c][n][c][Ring1][Branch1_1][n][Ring1][F]
S1028,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1.Cc1ccc(S(=O)(=O)O)cc1.Cc1ccc(S(=O)(=O)O)cc1,[C][S][Branch1_1][epsilon][=O][Branch1_3][epsilon][=O][C][C][N][C][c][c][c][c][Branch2_3][Ring1][Branch2_1][-c][c][c][c][n][c][n][c][Branch2_3][epsilon][Branch2_2][N][c][c][c][c][Branch1_3][N][O][C][c][c][c][c][c][Branch1_3][epsilon][F][c][Ring1][Branch1_2][c][Branch1_3][epsilon][Cl][c][Ring1][=N][c][Ring2][epsilon][Ring2][c][Ring2][epsilon][Branch2_1][o][Ring2][epsilon][=O][.][C][c][c][c][c][Branch1_3][Branch2_2][S][Branch1_1][epsilon][=O][Branch1_3][epsilon][=O][O][c][c][Ring1][Branch2_2][.][C][c][c][c][c][Branch1_3][Branch2_2][S][Branch1_1][epsilon][=O][Branch1_3][epsilon][=O][O][c][c][Ring1][Branch2_2]
S1029,Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,[N][c][c][c][c][c][c][Ring1][Branch1_1][C][N][Branch1_3][=O][C][C][C][C][Branch1_3][epsilon][=O][N][C][Ring1][Branch1_2][=O][C][Ring1][O][=O]
S1030,Cc1[nH]c2ccccc2c1CCNCc1ccc(/C=C/C(=O)NO)cc1,[C][c][nHexpl][c][c][c][c][c][c][Ring1][Branch1_1][c][Ring1][Branch2_1][C][C][N][C][c][c][c][c][Branch1_3][Branch2_2][/C][=C][/C][Branch1_3][epsilon][=O][N][O][c][c][Ring1][F]
S1033,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1,[C][c][c][n][Branch2_3][Ring1][=S][-c][c][c][Branch2_3][epsilon][#C][N][C][Branch1_3][epsilon][=O][c][c][c][c][Branch1_3][epsilon][C][c][Branch1_3][S][N][c][n][c][c][c][Branch1_3][Branch2_2][-c][c][c][c][n][c][Ring1][Branch1_1][n][Ring1][F][c][Ring1][#C][c][c][Branch1_3][Branch2_2][C][Branch1_2][epsilon][F][Branch1_3][epsilon][F][F][c][Ring2][epsilon][N][c][n][Ring2][epsilon][#C]
S1035,Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O.Cl,[C][c][c][c][c][Branch2_3][epsilon][C][N][c][n][c][c][c][Branch2_3][epsilon][Branch1_1][N][Branch1_3][epsilon][C][c][c][c][c][c][Branch1_3][epsilon][C][n][Branch1_3][epsilon][C][n][c][Ring1][Branch1_2][c][Ring1][Branch2_3][n][Ring1][=C][c][c][Ring2][epsilon][Branch1_3][S][Branch1_2][epsilon][N][Branch1_1][epsilon][=O][=O][.][Cl]
