Catalog,SMILES,SELFIES
S2912,c1ccc(NCc2ccc(CNc3ccccn3)cc2)nc1,[c][c][c][c][Branch2_3][epsilon][Ring2][N][C][c][c][c][c][Branch1_3][F][C][N][c][c][c][c][c][n][Ring1][Branch1_1][c][c][Ring1][=O][n][c][Ring2][epsilon][Ring1]
S2913,Cc1ccc(S(=O)(=O)/C=C/C#N)cc1,[C][c][c][c][c][Branch1_3][O][S][Branch1_1][epsilon][=O][Branch1_3][epsilon][=O][/C][=C][/C][#N][c][c][Ring1][O]
S2914,Cc1cc(C)c(Nc2ccnc(Nc3ccc(C#N)cc3)n2)c(C)c1,[C][c][c][c][Branch1_3][epsilon][C][c][Branch2_3][epsilon][Branch1_2][N][c][c][c][n][c][Branch1_3][N][N][c][c][c][c][Branch1_3][Ring1][C][#N][c][c][Ring1][Branch1_3][n][Ring1][N][c][Branch1_3][epsilon][C][c][Ring2][epsilon][Branch1_1]
S2915,O=C(Nc1ccccc1)c1cc([N+](=O)[O-])ccc1Cl,[O][=C][Branch1_3][Branch2_3][N][c][c][c][c][c][c][Ring1][Branch1_1][c][c][c][Branch1_3][Branch1_2][N+expl][Branch1_3][epsilon][=O][O-expl][c][c][c][Ring1][Branch2_1][Cl]
S2916,CCCC(=O)Nc1cccc(NC(=O)c2ccccc2Br)c1,[C][C][C][C][Branch1_3][epsilon][=O][N][c][c][c][c][c][Branch1_3][=N][N][C][Branch1_3][epsilon][=O][c][c][c][c][c][c][Ring1][Branch1_1][Br][c][Ring1][=N]
S2918,CC(C)c1ccc(NC(=O)Cn2cnc3c2c(=O)n(C)c(=O)n3C)cc1,[C][C][Branch1_3][epsilon][C][c][c][c][c][Branch2_3][epsilon][F][N][C][Branch1_3][epsilon][=O][C][n][c][n][c][c][Ring1][Ring2][c][Branch1_3][epsilon][=O][n][Branch1_3][epsilon][C][c][Branch1_3][epsilon][=O][n][Ring1][Branch2_1][C][c][c][Ring2][epsilon][Ring2]
S2919,O=C(O)CNC(=O)c1c(O)c2ccccc2n(Cc2ccccc2)c1=O,[O][=C][Branch1_3][epsilon][O][C][N][C][Branch1_3][epsilon][=O][c][c][Branch1_3][epsilon][O][c][c][c][c][c][c][Ring1][Branch1_1][n][Branch1_3][Branch2_3][C][c][c][c][c][c][c][Ring1][Branch1_1][c][Ring1][C][=O]
S2921,Cc1ccc(-c2c(-c3nn(C)c4ncnc(N5CCC(N6CCCCC6)C5)c34)cnn2C)cc1,[C][c][c][c][c][Branch2_3][Ring1][Branch2_2][-c][c][Branch2_3][epsilon][C][-c][n][n][Branch1_3][epsilon][C][c][n][c][n][c][Branch1_3][=C][N][C][C][C][Branch1_3][Branch2_2][N][C][C][C][C][C][Ring1][Branch1_1][C][Ring1][Branch2_3][c][Ring1][S][Ring1][#N][c][n][n][Ring2][epsilon][Branch1_3][C][c][c][Ring2][epsilon][N]
S2922,C#Cc1cccc(Nc2ncnc3cc4c(cc23)OCCOCCOCCO4)c1,[C][#C][c][c][c][c][c][Branch2_3][epsilon][F][N][c][n][c][n][c][c][c][c][Branch1_3][Branch1_3][c][c][Ring1][Branch2_2][Ring1][Branch1_1][O][C][C][O][C][C][O][C][C][O][Ring1][=O][c][Ring2][epsilon][Branch2_1]
S2923,O=C(/C=C/c1ccccc1)NC(NC(=S)Nc1cccc2cccnc12)C(Cl)(Cl)Cl,[O][=C][Branch1_3][F][/C][=C][/c][c][c][c][c][c][Ring1][Branch1_1][N][C][Branch1_3][=S][N][C][Branch1_3][epsilon][=S][N][c][c][c][c][c][c][c][c][n][c][Ring1][Branch2_2][Ring1][Branch1_1][C][Branch1_2][epsilon][Cl][Branch1_3][epsilon][Cl][Cl]
S2924,Cc1c[nH]c(-c2cnc(NCCNc3ccc(C#N)cn3)nc2-c2ccc(Cl)cc2Cl)n1.Cl,[C][c][c][nHexpl][c][Branch2_3][epsilon][S][-c][c][n][c][Branch1_3][C][N][C][C][N][c][c][c][c][Branch1_3][Ring1][C][#N][c][n][Ring1][Branch1_3][n][c][Ring1][C][-c][c][c][c][Branch1_3][epsilon][Cl][c][c][Ring1][Branch1_2][Cl][n][Ring2][epsilon][O][.][Cl]
S2925,Cc1cc(C)c2c(c1)C(N(Cc1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1nnn(C)n1)CCCN2CC1CCC(C(=O)O)CC1,[C][c][c][c][Branch1_3][epsilon][C][c][c][Branch1_3][Ring2][c][Ring1][Branch1_2][C][Branch2_3][Ring1][Branch1_1][N][Branch2_3][epsilon][F][C][c][c][c][Branch1_3][Branch2_2][C][Branch1_2][epsilon][F][Branch1_3][epsilon][F][F][c][c][Branch1_3][Branch2_2][C][Branch1_2][epsilon][F][Branch1_3][epsilon][F][F][c][Ring1][=O][c][n][n][n][Branch1_3][epsilon][C][n][Ring1][Branch1_1][C][C][C][N][Ring2][epsilon][F][C][C][C][C][C][Branch1_3][Branch1_2][C][Branch1_3][epsilon][=O][O][C][C][Ring1][Branch2_1]
S2926,Cn1sc(=O)n(Cc2ccccc2)c1=O,[C][n][s][c][Branch1_3][epsilon][=O][n][Branch1_3][Branch2_3][C][c][c][c][c][c][c][Ring1][Branch1_1][c][Ring1][O][=O]
S2928,CCc1nc(-c2cccc(C)c2)c(-c2ccnc(NC(=O)c3ccccc3)c2)s1,[C][C][c][n][c][Branch1_3][O][-c][c][c][c][c][Branch1_3][epsilon][C][c][Ring1][Branch1_2][c][Branch2_3][epsilon][Branch1_1][-c][c][c][n][c][Branch1_3][N][N][C][Branch1_3][epsilon][=O][c][c][c][c][c][c][Ring1][Branch1_1][c][Ring1][N][s][Ring2][epsilon][Branch2_1]
S2929,Br.Cc1ccc(C(=O)Cn2c3c(sc2=N)CCCC3)cc1,[Br][.][C][c][c][c][c][Branch2_3][epsilon][Ring1][C][Branch1_3][epsilon][=O][C][n][c][c][Branch1_3][Branch1_2][s][c][Ring1][Ring2][=N][C][C][C][C][Ring1][Branch2_1][c][c][Ring1][=C]
S2930,NS(=O)(=O)C#Cc1ccccc1,[N][S][Branch1_1][epsilon][=O][Branch1_3][epsilon][=O][C][#C][c][c][c][c][c][c][Ring1][Branch1_1]
S3001,Cc1cn(C2OC(CO)C(O)C2F)c(=O)[nH]c1=O,[C][c][c][n][Branch1_3][#N][C][O][C][Branch1_3][Ring1][C][O][C][Branch1_3][epsilon][O][C][Ring1][Branch1_3][F][c][Branch1_3][epsilon][=O][nHexpl][c][Ring1][=N][=O]
S3002,O=C(NCC1CN(c2ccc(N3CCOCC3=O)cc2)C(=O)O1)c1ccc(Cl)s1,[O][=C][Branch2_3][epsilon][=N][N][C][C][C][N][Branch1_3][S][c][c][c][c][Branch1_3][Branch2_3][N][C][C][O][C][C][Ring1][Branch1_1][=O][c][c][Ring1][O][C][Branch1_3][epsilon][=O][O][Ring1][=C][c][c][c][c][Branch1_3][epsilon][Cl][s][Ring1][Branch1_1]
S3005,Cl.Fc1ccc(C2CCNCC2COc2ccc3c(c2)OCO3)cc1,[Cl][.][F][c][c][c][c][Branch2_3][epsilon][Branch1_3][C][C][C][N][C][C][Ring1][Branch1_1][C][O][c][c][c][c][c][Branch1_3][Ring2][c][Ring1][Branch1_1][O][C][O][Ring1][Branch1_1][c][c][Ring2][epsilon][Ring2]
S3008,CC(C(=O)O)c1ccc2c(c1)CC(=O)c1ccccc1S2,[C][C][Branch1_3][Branch1_2][C][Branch1_3][epsilon][=O][O][c][c][c][c][c][Branch1_3][Ring2][c][Ring1][Branch1_1][C][C][Branch1_3][epsilon][=O][c][c][c][c][c][c][Ring1][Branch1_1][S][Ring1][O]
S3012,Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O,[C][c][c][c][c][Branch2_3][epsilon][C][N][c][n][c][c][c][Branch2_3][epsilon][Branch1_1][N][Branch1_3][epsilon][C][c][c][c][c][c][Branch1_3][epsilon][C][n][Branch1_3][epsilon][C][n][c][Ring1][Branch1_2][c][Ring1][Branch2_3][n][Ring1][=C][c][c][Ring2][epsilon][Branch1_3][S][Branch1_2][epsilon][N][Branch1_1][epsilon][=O][=O]
S3017,CC(=O)Oc1ccccc1C(=O)O,[C][C][Branch1_3][epsilon][=O][O][c][c][c][c][c][c][Ring1][Branch1_1][C][Branch1_3][epsilon][=O][O]
S3018,O=C(O)c1cccnc1Nc1cccc(C(F)(F)F)c1,[O][=C][Branch1_3][epsilon][O][c][c][c][c][n][c][Ring1][Branch1_1][N][c][c][c][c][c][Branch1_3][Branch2_2][C][Branch1_2][epsilon][F][Branch1_3][epsilon][F][F][c][Ring1][Branch2_2]
S3021,Cc1c(C(=O)NN2CCCCC2)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1,[C][c][c][Branch1_3][N][C][Branch1_3][epsilon][=O][N][N][C][C][C][C][C][Ring1][Branch1_1][n][n][Branch1_3][=O][-c][c][c][c][Branch1_3][epsilon][Cl][c][c][Ring1][Branch1_2][Cl][c][Ring2][epsilon][Ring1][-c][c][c][c][Branch1_3][epsilon][Cl][c][c][Ring1][Branch1_2]
S3022,COC1C(=O)C2(C)C(OC)CC3OCC3(OC(C)=O)C2C(OC(=O)c2ccccc2)C2(O)CC(OC(=O)C(O)C(NC(=O)OC(C)(C)C)c3ccccc3)C(C)=C1C2(C)C,[C][O][C][C][Branch1_3][epsilon][=O][C][Branch1_3][epsilon][C][C][Branch1_3][Ring1][O][C][C][C][O][C][C][Ring1][Ring1][Branch1_3][Branch1_3][O][C][Branch1_2][epsilon][C][=O][C][Ring1][N][C][Branch1_3][N][O][C][Branch1_3][epsilon][=O][c][c][c][c][c][c][Ring1][Branch1_1][C][Branch1_3][epsilon][O][C][C][Branch2_3][epsilon][#N][O][C][Branch1_3][epsilon][=O][C][Branch1_3][epsilon][O][C][Branch1_3][=N][N][C][Branch1_3][epsilon][=O][O][C][Branch1_2][epsilon][C][Branch1_3][epsilon][C][C][c][c][c][c][c][c][Ring1][Branch1_1][C][Branch1_2][epsilon][C][=C][Ring2][Ring1][#N][C][Ring2][epsilon][Branch2_2][Branch1_3][epsilon][C][C]
S3023,CCCCOc1ccc(CC(=O)NO)cc1,[C][C][C][C][O][c][c][c][c][Branch1_3][Branch2_1][C][C][Branch1_3][epsilon][=O][N][O][c][c][Ring1][Branch2_3]
S3024,Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1,[N][c][n][n][c][Branch1_3][=O][-c][c][c][c][c][Branch1_3][epsilon][Cl][c][Ring1][Branch1_2][Cl][c][Branch1_3][epsilon][N][n][Ring1][N]
S3025,O=S(=O)(F)Cc1ccccc1,[O][=S][Branch1_1][epsilon][=O][Branch1_3][epsilon][F][C][c][c][c][c][c][c][Ring1][Branch1_1]
S3026,Oc1cc(O)cc(/C=C/c2ccc(O)c(O)c2)c1,[O][c][c][c][Branch1_3][epsilon][O][c][c][Branch1_3][C][/C][=C][/c][c][c][c][Branch1_3][epsilon][O][c][Branch1_3][epsilon][O][c][Ring1][Branch1_3][c][Ring1][#N]
S3030,O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,[O][=C][Branch1_3][=C][N][c][c][c][c][Branch1_3][Branch1_2][N+expl][Branch1_3][epsilon][=O][O-expl][c][c][Ring1][Branch2_1][Cl][c][c][c][Branch1_3][epsilon][Cl][c][c][c][Ring1][Branch1_2][O]
S3031,CC#CCn1c(N2CCCC(N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,[C][C][#C][C][n][c][Branch1_3][O][N][C][C][C][C][Branch1_3][epsilon][N][C][Ring1][Branch1_2][n][c][c][Ring1][F][c][Branch1_3][epsilon][=O][n][Branch1_3][#C][C][c][n][c][Branch1_3][epsilon][C][c][c][c][c][c][c][Ring1][Branch1_1][n][Ring1][Branch2_3][c][Branch1_3][epsilon][=O][n][Ring1][#C][C]
S3033,N#CC1CCCN1C(=O)CNC12CC3CC(CC(O)(C3)C1)C2,[N][#C][C][C][C][C][N][Ring1][Ring2][C][Branch1_3][epsilon][=O][C][N][C][C][C][C][C][Branch1_3][N][C][C][Branch1_2][epsilon][O][Branch1_3][Ring2][C][Ring1][Branch1_2][C][Ring1][Branch2_2][C][Ring1][Branch2_3]
S3035,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(C)=O)CC3OC1CC(N)C(O)C(C)O1.Cl,[C][O][c][c][c][c][c][c][Ring1][Branch1_1][C][Branch1_3][epsilon][=O][c][c][Branch1_3][epsilon][O][c][c][Branch1_3][O][c][Branch1_3][epsilon][O][c][Ring1][Branch1_3][C][Ring1][O][=O][C][C][Branch1_2][epsilon][O][Branch1_3][Branch1_2][C][Branch1_2][epsilon][C][=O][C][C][Ring1][N][O][C][C][C][Branch1_3][epsilon][N][C][Branch1_3][epsilon][O][C][Branch1_3][epsilon][C][O][Ring1][Branch2_1][.][Cl]
S3037,O=C(O)CCCN1CCC(OC(c2ccc(Cl)cc2)c2ccccn2)CC1.O=S(=O)(O)c1ccccc1,[O][=C][Branch1_3][epsilon][O][C][C][C][N][C][C][C][Branch2_3][epsilon][Branch1_1][O][C][Branch1_3][O][c][c][c][c][Branch1_3][epsilon][Cl][c][c][Ring1][Branch1_2][c][c][c][c][c][n][Ring1][Branch1_1][C][C][Ring1][S][.][O][=S][Branch1_1][epsilon][=O][Branch1_3][epsilon][O][c][c][c][c][c][c][Ring1][Branch1_1]
S3038,CC(OC1OCCN(Cc2nn(P(=O)(O)O)c(=O)[nH]2)C1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1.CNCC(O)C(O)C(O)C(O)CO.CNCC(O)C(O)C(O)C(O)CO,[C][C][Branch2_3][Ring1][Branch1_2][O][C][O][C][C][N][Branch2_3][epsilon][Ring1][C][c][n][n][Branch1_3][Branch2_2][P][Branch1_1][epsilon][=O][Branch1_3][epsilon][O][O][c][Branch1_3][epsilon][=O][nHexpl][Ring1][Branch2_2][C][Ring1][#N][c][c][c][c][Branch1_3][epsilon][F][c][c][Ring1][Branch1_2][c][c][c][Branch1_3][Branch2_2][C][Branch1_2][epsilon][F][Branch1_3][epsilon][F][F][c][c][Branch1_3][Branch2_2][C][Branch1_2][epsilon][F][Branch1_3][epsilon][F][F][c][Ring1][=O][.][C][N][C][C][Branch1_3][epsilon][O][C][Branch1_3][epsilon][O][C][Branch1_3][epsilon][O][C][Branch1_3][epsilon][O][C][O][.][C][N][C][C][Branch1_3][epsilon][O][C][Branch1_3][epsilon][O][C][Branch1_3][epsilon][O][C][Branch1_3][epsilon][O][C][O]
S3043,CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1,[C][S][Branch1_1][epsilon][=O][Branch1_3][epsilon][=O][c][c][c][c][Branch1_3][=S][C][=C][Branch1_3][Branch2_2][c][c][c][c][c][c][Ring1][Branch1_1][C][Branch1_3][epsilon][=O][O][C][Ring1][F][c][c][Ring1][C]
S3046,CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2nc(=O)o[nH]2)cc1,[C][C][O][c][n][c][c][c][c][c][Branch1_3][Branch1_2][C][Branch1_3][epsilon][=O][O][c][Ring1][Branch2_1][n][Ring1][F][C][c][c][c][c][Branch1_3][#C][-c][c][c][c][c][c][Ring1][Branch1_1][-c][n][c][Branch1_3][epsilon][=O][o][nHexpl][Ring1][Branch1_1][c][c][Ring1][C]
S3051,COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO.O,[C][O][c][c][c][c][c][c][Ring1][Branch1_1][O][c][c][Branch2_3][epsilon][Branch2_1][N][S][Branch1_1][epsilon][=O][Branch1_3][epsilon][=O][c][c][c][c][Branch1_3][Branch2_2][C][Branch1_2][epsilon][C][Branch1_3][epsilon][C][C][c][c][Ring1][Branch2_2][n][c][Branch1_3][Branch2_2][-c][n][c][c][c][n][Ring1][Branch1_1][n][c][Ring2][epsilon][Branch1_3][O][C][C][O][.][O]
S3052,Cc1cncc(CN2CCC(=C3c4ccc(Cl)cc4CCc4cccnc43)CC2)c1.O=C(O)/C=C/C(=O)O,[C][c][c][n][c][c][Branch2_3][epsilon][#C][C][N][C][C][C][Branch2_3][epsilon][Branch1_2][=C][c][c][c][c][Branch1_3][epsilon][Cl][c][c][Ring1][Branch1_2][C][C][c][c][c][c][n][c][Ring1][Branch1_1][Ring1][=N][C][C][Ring2][epsilon][Ring1][c][Ring2][epsilon][Branch2_3][.][O][=C][Branch1_3][epsilon][O][/C][=C][/C][Branch1_3][epsilon][=O][O]
S3053,CC1=C(C(=O)OC(C)C)C(c2cccc([N+](=O)[O-])c2)C(C(=O)OC2CN(C(c3ccccc3)c3ccccc3)C2)=C(N)N1,[C][C][=C][Branch1_3][F][C][Branch1_3][epsilon][=O][O][C][Branch1_3][epsilon][C][C][C][Branch1_3][#N][c][c][c][c][c][Branch1_3][Branch1_2][N+expl][Branch1_3][epsilon][=O][O-expl][c][Ring1][Branch2_1][C][Branch2_2][epsilon][N][C][Branch1_3][epsilon][=O][O][C][C][N][Branch1_3][S][C][Branch1_3][Branch2_2][c][c][c][c][c][c][Ring1][Branch1_1][c][c][c][c][c][c][Ring1][Branch1_1][C][Ring1][#N][=C][Branch1_3][epsilon][N][N][Ring2][Ring1][Ring1]
S3054,CCN(CCCc1ccccc1)CCCc1ccccc1.O=C(O)CC(O)(CC(=O)O)C(=O)O,[C][C][N][Branch1_3][O][C][C][C][c][c][c][c][c][c][Ring1][Branch1_1][C][C][C][c][c][c][c][c][c][Ring1][Branch1_1][.][O][=C][Branch1_3][epsilon][O][C][C][Branch1_2][epsilon][O][Branch1_3][Branch1_3][C][C][Branch1_3][epsilon][=O][O][C][Branch1_3][epsilon][=O][O]
S3057,CCOc1nc2cccc(C(=O)OCc3oc(=O)oc3C)c2n1Cc1ccc(-c2ccccc2-c2nc(=O)o[nH]2)cc1,[C][C][O][c][n][c][c][c][c][c][Branch1_3][=C][C][Branch1_3][epsilon][=O][O][C][c][o][c][Branch1_3][epsilon][=O][o][c][Ring1][Branch1_1][C][c][Ring1][#N][n][Ring1][#C][C][c][c][c][c][Branch1_3][#C][-c][c][c][c][c][c][Ring1][Branch1_1][-c][n][c][Branch1_3][epsilon][=O][o][nHexpl][Ring1][Branch1_1][c][c][Ring1][C]
S3063,CCNCC.O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,[C][C][N][C][C][.][O][=C][Branch1_3][epsilon][O][C][c][c][c][c][c][c][Ring1][Branch1_1][N][c][c][Branch1_3][epsilon][Cl][c][c][c][c][Ring1][Branch1_2][Cl]
S3074,NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl,[N][S][Branch1_1][epsilon][=O][Branch1_3][epsilon][=O][c][c][c][Branch1_3][S][C][Branch1_3][epsilon][O][N][C][Branch1_3][epsilon][=O][c][c][c][c][c][c][Ring1][Branch1_1][Ring1][Branch2_3][c][c][c][Ring1][#N][Cl]
S3077,CC1(Cn2ccnn2)C(C(=O)O)N2C(=O)CC2S1(=O)=O,[C][C][Branch1_3][Branch2_2][C][n][c][c][n][n][Ring1][Ring2][C][Branch1_3][Branch1_2][C][Branch1_3][epsilon][=O][O][N][C][Branch1_3][epsilon][=O][C][C][Ring1][Ring2][S][Ring1][#N][Branch1_1][epsilon][=O][=O]
S3080,Cc1cc(C#N)cc(C)c1Oc1nc(Nc2ccc(C#N)cc2)nc(N)c1Br,[C][c][c][c][Branch1_3][Ring1][C][#N][c][c][Branch1_3][epsilon][C][c][Ring1][Branch2_1][O][c][n][c][Branch1_3][N][N][c][c][c][c][Branch1_3][Ring1][C][#N][c][c][Ring1][Branch1_3][n][c][Branch1_3][epsilon][N][c][Ring1][=N][Br]
S3100,O=c1cc[nH]c(=S)[nH]1,[O][=c][c][c][nHexpl][c][Branch1_3][epsilon][=S][nHexpl][Ring1][Branch1_2]
S3117,CCN(CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1.Cl,[C][C][N][Branch1_3][Ring1][C][C][C][C][#C][C][O][C][Branch1_3][epsilon][=O][C][Branch1_2][epsilon][O][Branch1_3][Branch2_2][c][c][c][c][c][c][Ring1][Branch1_1][C][C][C][C][C][C][Ring1][Branch1_1][.][Cl]
S3120,CN(C)CC/C=C1\c2ccccc2COc2ccccc21.Cl,[C][N][Branch1_3][epsilon][C][C][C][/C][=C][\c][c][c][c][c][c][Ring1][Branch1_1][C][O][c][c][c][c][c][c][Ring1][Branch1_1][Ring1][N][.][Cl]
S3140,CCN(CC)C(=O)C1(c2ccccc2)CC1CN.Cl,[C][C][N][Branch1_3][Ring1][C][C][C][Branch1_3][epsilon][=O][C][Branch1_3][Branch2_2][c][c][c][c][c][c][Ring1][Branch1_1][C][C][Ring1][Branch2_1][C][N][.][Cl]
S3144,Br.NC(=O)C(c1ccccc1)(c1ccccc1)C1CCN(CCc2ccc3c(c2)CCO3)C1,[Br][.][N][C][Branch1_3][epsilon][=O][C][Branch1_2][Branch2_2][c][c][c][c][c][c][Ring1][Branch1_1][Branch1_3][Branch2_2][c][c][c][c][c][c][Ring1][Branch1_1][C][C][C][N][Branch1_3][=C][C][C][c][c][c][c][c][Branch1_3][Ring2][c][Ring1][Branch1_1][C][C][O][Ring1][Branch1_1][C][Ring1][=N]
S3147,CCN(CC)C(=O)/C(C#N)=C/c1cc(O)c(O)c([N+](=O)[O-])c1,[C][C][N][Branch1_3][Ring1][C][C][C][Branch1_3][epsilon][=O][/C][Branch1_2][Ring1][C][#N][=C][/c][c][c][Branch1_3][epsilon][O][c][Branch1_3][epsilon][O][c][Branch1_3][Branch1_2][N+expl][Branch1_3][epsilon][=O][O-expl][c][Ring1][Branch2_3]
S3151,COc1ccc2c(c1)C(=O)N(CCc1ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc1)C(=O)C2(C)C,[C][O][c][c][c][c][c][Branch1_3][Ring2][c][Ring1][Branch1_1][C][Branch1_3][epsilon][=O][N][Branch2_3][epsilon][#N][C][C][c][c][c][c][Branch2_3][epsilon][Ring1][S][Branch1_1][epsilon][=O][Branch1_3][epsilon][=O][N][C][Branch1_3][epsilon][=O][N][C][C][C][C][C][C][Ring1][Branch1_1][c][c][Ring1][=C][C][Branch1_3][epsilon][=O][C][Ring2][epsilon][F][Branch1_3][epsilon][C][C]
S3163,CN1C2CCC1CC(OC(c1ccccc1)c1ccccc1)C2.CS(=O)(=O)O,[C][N][C][C][C][C][Ring1][Ring2][C][C][Branch1_3][=S][O][C][Branch1_3][Branch2_2][c][c][c][c][c][c][Ring1][Branch1_1][c][c][c][c][c][c][Ring1][Branch1_1][C][Ring1][S][.][C][S][Branch1_1][epsilon][=O][Branch1_3][epsilon][=O][O]
S3172,Cl.O=C1CN2Cc3c(ccc(Cl)c3Cl)NC2=N1,[Cl][.][O][=C][C][N][C][c][c][Branch1_3][F][c][c][c][Branch1_3][epsilon][Cl][c][Ring1][Branch1_2][Cl][N][C][Ring1][F][=N][Ring1][N]
S3173,Cc1cc(=O)n(-c2ccccc2)n1C,[C][c][c][c][Branch1_3][epsilon][=O][n][Branch1_3][Branch2_2][-c][c][c][c][c][c][Ring1][Branch1_1][n][Ring1][F][C]
S3175,CNCCC(Oc1ccccc1C)c1ccccc1.Cl,[C][N][C][C][C][Branch1_3][F][O][c][c][c][c][c][c][Ring1][Branch1_1][C][c][c][c][c][c][c][Ring1][Branch1_1][.][Cl]
S3176,CNCCc1ccccn1.Cl.Cl,[C][N][C][C][c][c][c][c][c][n][Ring1][Branch1_1][.][Cl][.][Cl]
S3178,CCNC1CN(CCCOC)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,[C][C][N][C][C][N][Branch1_3][Branch1_2][C][C][C][O][C][S][Branch1_1][epsilon][=O][Branch1_3][epsilon][=O][c][s][c][Branch1_3][Branch2_2][S][Branch1_2][epsilon][N][Branch1_1][epsilon][=O][=O][c][c][Ring1][Branch2_1][Ring1][#C]
S3181,CC1CCc2cc(F)cc3c(=O)c(C(=O)O)cn1c23,[C][C][C][C][c][c][c][Branch1_3][epsilon][F][c][c][c][Branch1_3][epsilon][=O][c][Branch1_3][Branch1_2][C][Branch1_3][epsilon][=O][O][c][n][Ring1][#N][c][Ring1][N][Ring1][Branch2_2]
S3183,CN(C)CCC=C1c2ccccc2CCc2ccccc21.Cl,[C][N][Branch1_3][epsilon][C][C][C][C][=C][c][c][c][c][c][c][Ring1][Branch1_1][C][C][c][c][c][c][c][c][Ring1][Branch1_1][Ring1][N][.][Cl]
S3186,CN1CCC(=C2c3ccccc3CCc3cccnc32)CC1.O=C(O)/C=C\C(=O)O.O=C(O)/C=C\C(=O)O,[C][N][C][C][C][Branch2_3][epsilon][Ring1][=C][c][c][c][c][c][c][Ring1][Branch1_1][C][C][c][c][c][c][n][c][Ring1][Branch1_1][Ring1][N][C][C][Ring1][S][.][O][=C][Branch1_3][epsilon][O][/C][=C][\C][Branch1_3][epsilon][=O][O][.][O][=C][Branch1_3][epsilon][O][/C][=C][\C][Branch1_3][epsilon][=O][O]
S3189,CCCN(CCC)CCc1cccc2c1CC(=O)N2.Cl,[C][C][C][N][Branch1_3][Ring2][C][C][C][C][C][c][c][c][c][c][c][Ring1][Branch1_1][C][C][Branch1_3][epsilon][=O][N][Ring1][Branch1_1][.][Cl]
S3199,CCOc1ccccc1OC(c1ccccc1)C1CNCCO1.CS(=O)(=O)O,[C][C][O][c][c][c][c][c][c][Ring1][Branch1_1][O][C][Branch1_3][Branch2_2][c][c][c][c][c][c][Ring1][Branch1_1][C][C][N][C][C][O][Ring1][Branch1_1][.][C][S][Branch1_1][epsilon][=O][Branch1_3][epsilon][=O][O]
S3200,CC(=O)Oc1cc(C(F)(F)F)ccc1C(=O)O,[C][C][Branch1_3][epsilon][=O][O][c][c][c][Branch1_3][Branch2_2][C][Branch1_2][epsilon][F][Branch1_3][epsilon][F][F][c][c][c][Ring1][Branch2_2][C][Branch1_3][epsilon][=O][O]
S3201,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1.Cl.Cl,[C][N][C][C][N][Branch2_3][epsilon][=N][C][C][C][N][c][c][c][c][c][c][Ring1][Branch1_1][S][c][c][c][c][Branch1_3][Branch2_2][C][Branch1_2][epsilon][F][Branch1_3][epsilon][F][F][c][c][Ring1][Branch2_2][Ring1][C][C][C][Ring2][epsilon][Branch2_1][.][Cl][.][Cl]
S3202,CCC1=CC2CN3CCc4c([nH]c5ccccc45)C(C(=O)OC)(C2)C13,[C][C][C][=C][C][C][N][C][C][c][c][Branch1_3][O][nHexpl][c][c][c][c][c][c][Ring1][Branch2_1][Ring1][Branch1_1][C][Branch1_2][Branch1_3][C][Branch1_3][epsilon][=O][O][C][Branch1_3][Ring2][C][Ring1][#C][C][Ring2][epsilon][Ring2][Ring1][=C]
S3204,CCC1(c2cccc(O)c2)CCCCN(C)C1.Cl,[C][C][C][Branch1_3][O][c][c][c][c][c][Branch1_3][epsilon][O][c][Ring1][Branch1_2][C][C][C][C][N][Branch1_3][epsilon][C][C][Ring1][N][.][Cl]
S3208,CC(C)(C(=O)O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1.Cl,[C][C][Branch1_2][epsilon][C][Branch1_3][Branch1_2][C][Branch1_3][epsilon][=O][O][c][c][c][c][Branch2_3][Ring1][epsilon][C][Branch1_3][epsilon][O][C][C][C][N][C][C][C][Branch2_3][epsilon][Ring2][C][Branch1_2][epsilon][O][Branch1_3][Branch2_2][c][c][c][c][c][c][Ring1][Branch1_1][c][c][c][c][c][c][Ring1][Branch1_1][C][C][Ring1][#C][c][c][Ring2][epsilon][O][.][Cl]
