,Unnamed: 0,smiles,molwt,ccount,fcount,clcount,brcount
40,40,CCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,340.068510772,10,11,0,0
41,41,CCCCCCC(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl,775.5722209760003,14,0,17,0
42,42,CCCC(Br)(Br)C(Br)(Br)Br,461.64646072400006,5,0,0,5
43,43,CC(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl,541.618559936,7,0,13,0
44,44,CCCCCC(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl,679.6188655520001,12,0,15,0
45,45,CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,533.989942716,11,21,0,0
46,46,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,387.97445152,7,16,0,0
47,47,CC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,234.009104076,5,9,0,0
48,48,CCCC(Cl)(Cl)Cl,159.961333264,4,0,3,0
49,49,ClC(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl,807.3770536000004,9,0,20,0
50,50,CCCCCCCC(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl,461.8370496,11,0,9,0
51,51,CCCCCC(Cl)(Cl)C(Cl)(Cl)Cl,269.930338752,7,0,5,0
52,52,CCCCC(F)(F)F,126.065634948,5,3,0,0
53,53,CCCCCCCCC(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)Br,871.3980594440002,12,0,0,9
54,54,CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,548.00559278,12,21,0,0
55,55,CCCCCCCCCCCCC(F)(F)F,238.19083546,13,3,0,0
56,56,CCCCC(Cl)(Cl)Cl,173.976983328,5,0,3,0
57,57,CCCCCCCCCCC(F)(F)C(F)(F)F,260.156341772,12,5,0,0
58,58,CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,633.983555596,13,25,0,0
59,59,CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,383.99952339600003,8,15,0,0
60,60,CCC(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl,801.4473260800004,11,0,19,0
61,61,CCCC(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl,651.5875654240001,10,0,15,0
62,62,ClC(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl,397.6885268,4,0,10,0
63,63,CCCCCCC(F)(F)F,154.096935076,7,3,0,0
64,64,CCCCCC(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)Br,1338.861131852,12,0,0,15
65,65,CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,398.01517346,9,15,0,0
66,66,CCCCCCCC(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)Br,1366.8924319799999,14,0,0,15
