alphabets
[epsilon]
[C]
[=C]
[C@Hexpl]
[N]
[Ring1]
[Branch1_1]
[C@@Hexpl]
[Branch1_3]
[=O]
[O]
[Branch2_3]
[Branch2_1]
[=N]
[c]
[F]
[Ring2]
[Branch1_2]
[o]
[n]
[S]
[Branch2_2]
[#N]
[#C]
[=S]
[s]
[-c]
[Cl]
[=c]
[/C]
[/c]
[Br]
[-n]
[nHexpl]
[=N+expl]
[O-expl]
[N+expl]
[C@expl]
[C@@expl]
[/N]
[\S]
[\c]
[.]
[n+expl]
[/O]
[Expl-Ring1]
[\C]
[P]
[/S]
[\N]
[\O]
[I]
[Siexpl]
[S@@expl]
[S@expl]
